word;wordTranslate;articleId;wordPlural;pluralSign;wordTranslatePlural
Forderung;требование;3;Forderungen;en;требования
Forschung;исследование;3;Forschungen;n;исследования
Fortbildung;повышение квалификации;3;Fortbildungen;n;курсы
Fortschritt;прогресс;1;Fortschritte;e;прогрессы
Freiberufler;фрилансер;1;Freiberufler;-;фрилансеры
Freizeitausgleich;компенсация временем;1;Freizeitausgleiche;e;компенсации
Garantie;гарантия;3;Garantien;n;гарантии
Garantieverlängerung;продление гарантии;3;Garantieverlängerungen;n;продления
Gärtnerei;садоводство;3;Gärtnereien;n;хозяйства
Gastronomie;общепит;3;Gastronomien;n;сферы питания
Gehalt;оклад;2;Gehälter;-;оклады
Gehaltsabrechnung;расчёт зарплаты;3;Gehaltsabrechnungen;n;расчёты
Geschäftsabschluss;заключение сделки;1;Geschäftsabschlüsse;e;сделки
Geschäftsführung;руководство;3;Geschäftsführungen;n;руководства
Geschäftsidee;бизнес-идея;3;Geschäftsideen;n;идеи
Gesundheitskarte;медицинская карта;3;Gesundheitskarten;n;карты
Gesundheitswesen;сфера здравоохранения;2;null;null;null
Gewährleistung;гарантийное обязательство;3;Gewährleistungen;n;обязательства
Gewerbe;ремесло/бизнес;2;Gewerbe;-;виды бизнеса
Gewerkschaft;профсоюз;3;Gewerkschaften;en;профсоюзы
Gewicht;вес;2;Gewichte;-;веса
Gewinn;прибыль;1;Gewinne;e;прибыли
Gift;яд;2;Gifte;e;яды
Gleitzeit;гибкий график;3;Gleitzeiten;n;графики
GmbH;ООО (GmbH);3;null;null;null
Großhandel;оптовая торговля;1;Großhandel;-;оптовая торговля
Gründungsdatum;дата основания;2;Gründungsdaten;n;даты
Gutschrift;кредит-нота;3;Gutschriften;n;кредит-ноты
Haltbarkeit;срок службы;3;Haltbarkeiten;n;сроки
Handel;торговля;1;Handel;-;торговля
Handwerk;ремесло;2;Handwerke;-;ремёсла
Haustechnik;инженерные системы;3;Haustechniken;n;системы
Herausforderung;вызов;3;Herausforderungen;n;вызовы
Herstellung;производство;3;Herstellungen;n;производства
Hinweisschild;указатель/знак;2;Hinweisschilder;n;знаки
Homeoffice;удалённая работа;2;Homeoffices;-;режимы
